timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303319951,7,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,220,1,1,http://localhost:5133/api/loans,7,0,0
1781303319958,5,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319963,6,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319969,6,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,289,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303319975,4,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,219,1,1,http://localhost:5133/api/loans,4,0,0
1781303319979,6,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319989,5,BorrowBookRequest,404,Not Found,Thread Group 1-9,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303320172,8,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,220,1,1,http://localhost:5133/api/loans,8,0,1
1781303320180,5,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303320185,6,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303320192,5,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303320198,7,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303320205,6,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303320212,5,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303320218,7,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303320225,8,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-10,text,false,,327,219,1,1,http://localhost:5133/api/loans,8,0,0
1781303320233,6,BorrowBookRequest,404,Not Found,Thread Group 1-10,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
